Time Steps, Sol Vals 1st comp, Diff of (i+1)th and ith step of 1st comp.
--------------------------------0.000000	1.000000
-0.000002	0.000002	0.999998
-0.000002	0.000005	0.999995
-0.000002	0.000007	0.999993
-0.000024	0.000032	0.999968
-0.000024	0.000056	0.999944
-0.000024	0.000081	0.999919
-0.000244	0.000325	0.999675
-0.000244	0.000569	0.999431
-0.000244	0.000813	0.999187
-0.002436	0.003254	0.996751
-0.002430	0.005696	0.994321
-0.002425	0.008137	0.991896
-0.002419	0.010579	0.989477
-0.023867	0.034993	0.965611
-0.015775	0.051463	0.949836
-0.015517	0.067934	0.934319
-0.015263	0.084404	0.919056
-0.015014	0.100874	0.904042
-0.030919	0.135673	0.873123
-0.029861	0.170471	0.843263
-0.028839	0.205269	0.814424
-0.027853	0.240067	0.786571
-0.026900	0.274866	0.759670
-0.043687	0.334093	0.715984
-0.000002	0.334096	0.715982
-0.000002	0.334098	0.715980
-0.000002	0.334101	0.715978
-0.000018	0.334126	0.715960
-0.000018	0.334151	0.715942
-0.000018	0.334176	0.715924
-0.000179	0.334426	0.715746
-0.000179	0.334676	0.715567
-0.000179	0.334926	0.715388
-0.001613	0.337183	0.713774
-0.001610	0.339441	0.712165
-0.001606	0.341699	0.710559
-0.001602	0.343957	0.708956
-0.001599	0.346214	0.707357
-0.001595	0.348472	0.705762
-0.001592	0.350730	0.704170
-0.001588	0.352988	0.702582
-0.001584	0.355245	0.700998
-0.000998	0.356671	0.699999
0.000000	0.521004	0.699999
0.000000	0.685337	0.699999
0.000000	0.849670	0.699999
0.000000	1.014002	0.699999
0.000000	1.178335	0.699999
0.000000	1.342668	0.699999
0.000000	1.507001	0.699999
0.000000	1.671334	0.699999
0.000000	1.835667	0.699999
0.000000	.699999
0.000000	0.000000
1.835667	0.699999	0.000000
